Date,Close,High,Low,Open,Volume
1980-12-12,0.0985966101288795,0.0990252672525582,0.0985966101288795,0.0985966101288795,469033600
1980-12-15,0.0934527590870857,0.0938814161849757,0.0934527590870857,0.0938814161849757,175884800
1980-12-16,0.0865935236215591,0.087022174992288,0.0865935236215591,0.087022174992288,105728000
1980-12-17,0.0887368246912956,0.0891654819438377,0.0887368246912956,0.0887368246912956,86441600
1980-12-18,0.0913095101714134,0.0917381616368744,0.0913095101714134,0.0913095101714134,73449600
1980-12-19,0.0968819931149482,0.0973106502387762,0.0968819931149482,0.0968819931149482,48630400
1980-12-22,0.101597212255001,0.1020266363879695,0.101597212255001,0.101597212255001,37363200
1980-12-23,0.1058845221996307,0.1063131794034869,0.1058845221996307,0.1058845221996307,46950400
1980-12-24,0.1114570274949073,0.1118856846833269,0.1114570274949073,0.1114570274949073,48003200
1980-12-26,0.1217454820871353,0.122174139218519,0.1217454820871353,0.1217454820871353,55574400
1980-12-29,0.1234601438045501,0.1238888010909215,0.1234601438045501,0.1234601438045501,93161600
1980-12-30,0.1204595267772674,0.1208881724781171,0.1204595267772674,0.1208881724781171,68880000
1980-12-31,0.1170302852988243,0.1174589424203764,0.1170302852988243,0.1174589424203764,35750400
1981-01-02,0.1183162182569503,0.1191735323047072,0.1183162182569503,0.1183162182569503,21660800
1981-01-05,0.1157443523406982,0.1161729981150566,0.1157443523406982,0.1161729981150566,35728000
1981-01-06,0.1105997040867805,0.111028361240197,0.1105997040867805,0.111028361240197,45158400
1981-01-07,0.1058845221996307,0.1063131794034869,0.1058845221996307,0.1063131794034869,55686400
1981-01-08,0.1037412583827972,0.1041699041367584,0.1037412583827972,0.1041699041367584,39827200
1981-01-09,0.1093137711286544,0.1097424283881634,0.1093137711286544,0.1093137711286544,21504000
1981-01-12,0.1084564626216888,0.1093137656507066,0.1084564626216888,0.1093137656507066,23699200
1981-01-13,0.1045985743403434,0.105027231594628,0.1045985743403434,0.105027231594628,23049600
1981-01-14,0.105027250945568,0.1054559082788313,0.105027250945568,0.105027250945568,14291200
1981-01-15,0.1071704924106597,0.1080277953601314,0.1071704924106597,0.1071704924106597,14067200
1981-01-16,0.1063131690025329,0.1067418261644522,0.1063131690025329,0.1067418261644522,13395200
1981-01-19,0.11274304240942,0.1131716998061791,0.11274304240942,0.11274304240942,41574400
1981-01-20,0.1093137711286544,0.1097424283881634,0.1093137711286544,0.1097424283881634,30083200
1981-01-21,0.1114570274949073,0.1123143304247097,0.1114570274949073,0.1114570274949073,15904000
1981-01-22,0.11274304240942,0.1136003572029382,0.11274304240942,0.11274304240942,35548800
1981-01-23,0.1123143583536148,0.11317167294364,0.1123143583536148,0.1127430156486274,11222400
1981-01-26,0.1105997040867805,0.111028361240197,0.1105997040867805,0.111028361240197,24640000
1981-01-27,0.1097424253821373,0.1105997284306334,0.1097424253821373,0.1105997284306334,23699200
1981-01-28,0.1063131690025329,0.1067418261644522,0.1063131690025329,0.1067418261644522,28156800
1981-01-29,0.1024552956223487,0.102883952860343,0.1024552956223487,0.102883952860343,43904000
1981-01-30,0.0968819931149482,0.0977393073626042,0.0968819931149482,0.0977393073626042,46188800
1981-02-02,0.0913095101714134,0.0917381616368744,0.0913095101714134,0.0917381616368744,23766400
1981-02-03,0.0947387367486953,0.0951673881777767,0.0947387367486953,0.0947387367486953,19152000
1981-02-04,0.0981679707765579,0.0985966164808163,0.0981679707765579,0.0981679707765579,27865600
1981-02-05,0.0981679707765579,0.0990252736321106,0.0981679707765579,0.0981679707765579,7929600
1981-02-06,0.0985966101288795,0.0990252672525582,0.0985966101288795,0.0985966101288795,13865600
1981-02-09,0.0934527590870857,0.0943100675593484,0.0934527590870857,0.0943100675593484,16755200
1981-02-10,0.0934527590870857,0.0938814161849757,0.0934527590870857,0.0934527590870857,18345600
1981-02-11,0.0904522165656089,0.0908808681023852,0.0904522165656089,0.0908808681023852,13843200
1981-02-12,0.0895941108465194,0.0900235349421964,0.0895941108465194,0.0900235349421964,14560000
